,site,site_sql_id,datetime,water_temperature,session
391,SGW2,2044,2025-03-18 14:15:00,7.582,0
392,SGW2,2044,2025-03-18 14:30:00,7.582,0
393,SGW2,2044,2025-03-18 14:45:00,7.582,0
394,SGW2,2044,2025-03-18 15:00:00,7.582,0
395,SGW2,2044,2025-03-18 15:15:00,7.582,0
396,SGW2,2044,2025-03-18 15:30:00,7.582,0
397,SGW2,2044,2025-03-18 15:45:00,7.582,0
398,SGW2,2044,2025-03-18 16:00:00,7.582,0
399,SGW2,2044,2025-03-18 16:15:00,7.582,0
400,SGW2,2044,2025-03-18 16:30:00,7.582,0
401,SGW2,2044,2025-03-18 16:45:00,7.582,0
402,SGW2,2044,2025-03-18 17:00:00,7.582,0
403,SGW2,2044,2025-03-18 17:15:00,7.582,0
404,SGW2,2044,2025-03-18 17:30:00,7.582,0
405,SGW2,2044,2025-03-18 17:45:00,7.582,0
406,SGW2,2044,2025-03-18 18:00:00,7.582,0
407,SGW2,2044,2025-03-18 18:15:00,7.582,0
408,SGW2,2044,2025-03-18 18:30:00,7.582,0
409,SGW2,2044,2025-03-18 18:45:00,7.582,0
410,SGW2,2044,2025-03-18 19:00:00,7.582,0
411,SGW2,2044,2025-03-18 19:15:00,7.582,0
412,SGW2,2044,2025-03-18 19:30:00,7.582,0
413,SGW2,2044,2025-03-18 19:45:00,7.582,0
414,SGW2,2044,2025-03-18 20:00:00,7.582,0
415,SGW2,2044,2025-03-18 20:15:00,7.582,0
416,SGW2,2044,2025-03-18 20:30:00,7.582,0
417,SGW2,2044,2025-03-18 20:45:00,7.582,0
418,SGW2,2044,2025-03-18 21:00:00,7.582,0
419,SGW2,2044,2025-03-18 21:15:00,7.582,0
420,SGW2,2044,2025-03-18 21:30:00,7.582,0
421,SGW2,2044,2025-03-18 21:45:00,7.582,0
422,SGW2,2044,2025-03-18 22:00:00,7.582,0
423,SGW2,2044,2025-03-18 22:15:00,7.582,0
424,SGW2,2044,2025-03-18 22:30:00,7.582,0
425,SGW2,2044,2025-03-18 22:45:00,7.582,0
426,SGW2,2044,2025-03-18 23:00:00,7.582,0
427,SGW2,2044,2025-03-18 23:15:00,7.582,0
428,SGW2,2044,2025-03-18 23:30:00,7.582,0
429,SGW2,2044,2025-03-18 23:45:00,7.582,0
430,SGW2,2044,2025-03-19 00:00:00,7.582,0
